Gender,SeniorCitizen,Partner,Dependents,Tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn,Contract_Month-to-month,NoSeniorCitizen_Contract_Month-to-month,PaymentMethod0_Contract_Month-to-month0,InternetService_Fiber optic,StreamingTV_NoInternetService,No_OB_DP_TS,TotalServices,SenCit_Dependents,Partner_Dependents,SenCit_Partner,SenCit_Contract,SenCit_TechSupport,SenCit_PayMeth,Contract_mean_totCharges,Contract_totCharges_diff,PayMeth_mean_monthCharges,PayMeth_monthCharges_diff,Tenure_cat,MonthlyCharges_cat
1,0,1,0,66,1,0,0,2,2,2,2,2,2,2,1,1,85.9,5595.3,0,1,0,0,1,1,1,1,0,1,1,2,2,1,3683.643191800877,1911.6568081991231,66.7036565324568,19.1963434675432,5,0
1,1,0,0,69,1,2,0,2,0,2,2,0,2,2,0,1,74.1,5031.0,0,1,0,0,1,1,1,1,1,0,1,3,3,2,3683.643191800877,1347.356808199123,66.7036565324568,7.39634346754319,5,0
0,0,0,0,2,1,0,1,2,2,0,2,0,0,0,1,0,86.25,181.65,1,0,1,1,0,1,1,2,0,0,0,0,2,0,1370.9231314432975,-1189.2731314432974,62.961703124999964,23.288296875000036,0,0
1,0,0,0,20,1,0,1,0,0,0,0,2,0,0,0,0,78.8,1641.3,0,0,1,1,0,1,0,2,0,0,0,0,0,0,1370.9231314432975,270.37686855670245,62.961703124999964,15.838296875000033,1,0
0,1,0,0,60,1,2,1,0,0,2,2,2,2,1,1,0,106.0,6441.4,1,1,0,0,0,1,1,2,1,0,1,2,3,1,3018.965635738831,3422.4343642611684,62.961703124999964,43.038296875000036,5,0
0,0,1,1,22,1,0,2,1,1,1,1,1,1,1,0,1,20.75,452.35,0,1,0,0,1,0,1,7,1,2,1,1,1,1,3018.965635738831,-2566.6156357388313,66.7036565324568,-45.953656532456804,1,0
0,0,1,0,47,1,0,0,0,2,0,0,2,0,0,1,1,58.6,2723.4,0,0,1,0,1,1,1,1,0,1,1,0,0,1,1370.9231314432975,1352.4768685567026,66.7036565324568,-8.103656532456803,3,0
0,0,0,1,4,1,2,1,0,0,2,2,0,0,0,1,0,87.1,341.45,1,0,1,1,0,1,1,2,1,1,0,0,2,0,1370.9231314432975,-1029.4731314432975,62.961703124999964,24.13829687500003,0,0
0,0,1,1,18,1,0,0,2,2,0,2,0,0,1,1,0,61.5,1087.45,0,1,0,0,1,1,1,1,1,2,1,1,2,0,3018.965635738831,-1931.5156357388312,62.961703124999964,-1.4617031249999641,1,0
0,0,1,1,67,1,0,1,2,2,2,0,0,0,1,0,1,84.8,5598.3,0,1,0,0,0,1,1,2,1,2,1,1,0,1,3018.965635738831,2579.334364261169,66.7036565324568,18.096343467543193,5,0
0,0,0,0,6,0,1,0,0,0,0,0,2,2,0,0,1,45.0,298.7,0,0,1,0,1,1,0,0,0,0,0,0,0,1,1370.9231314432975,-1072.2231314432975,66.7036565324568,-21.703656532456804,0,0
0,0,1,0,71,1,2,0,2,2,2,2,2,2,2,0,0,90.1,6310.9,0,1,0,0,1,1,1,1,0,1,1,2,2,0,3683.643191800877,2627.2568081991226,62.961703124999964,27.13829687500003,5,0
1,0,0,0,21,1,0,2,1,1,1,1,1,1,2,0,0,19.6,390.4,0,1,0,0,1,0,1,7,0,0,0,2,1,0,3683.643191800877,-3293.243191800877,62.961703124999964,-43.36170312499996,1,0
1,0,0,0,1,1,0,2,1,1,1,1,1,1,0,0,1,20.2,20.2,0,0,1,0,1,0,1,7,0,0,0,0,1,1,1370.9231314432975,-1350.7231314432975,66.7036565324568,-46.5036565324568,0,0
1,0,1,1,5,1,0,2,1,1,1,1,1,1,1,0,0,20.55,99.45,0,1,0,0,1,0,1,7,1,2,1,1,1,0,3018.965635738831,-2919.5156357388314,62.961703124999964,-42.41170312499996,0,0
0,0,0,1,11,1,0,2,1,1,1,1,1,1,0,0,1,20.1,221.35,1,0,1,0,1,0,1,7,1,1,0,0,1,1,1370.9231314432975,-1149.5731314432976,66.7036565324568,-46.6036565324568,0,0
0,0,0,0,68,1,2,0,2,0,0,0,0,0,0,0,0,54.45,3687.75,0,0,1,1,1,1,0,1,0,0,0,0,0,0,1370.9231314432975,2316.8268685567027,62.961703124999964,-8.511703124999961,5,0
1,0,0,0,20,1,2,1,0,0,0,2,2,2,0,1,0,98.55,2031.95,0,0,1,1,0,1,1,2,0,0,0,0,2,0,1370.9231314432975,661.0268685567025,62.961703124999964,35.58829687500003,1,0
1,0,0,0,20,1,0,2,1,1,1,1,1,1,1,1,0,19.7,415.9,0,1,0,0,1,0,1,7,0,0,0,1,1,0,3018.965635738831,-2603.065635738831,62.961703124999964,-43.26170312499997,1,0
0,0,0,1,53,1,2,0,0,2,2,2,2,2,1,1,0,84.6,4449.75,0,1,0,0,1,1,1,1,1,1,0,1,2,0,3018.965635738831,1430.7843642611688,62.961703124999964,21.63829687500003,4,0
0,0,1,1,65,1,2,0,2,2,0,2,2,2,2,1,1,82.5,5215.1,0,1,0,0,1,1,1,1,1,2,1,2,2,1,3683.643191800877,1531.4568081991233,66.7036565324568,15.796343467543196,5,0
1,1,1,0,24,1,2,1,0,2,2,0,2,2,0,1,0,104.25,2433.9,1,0,0,1,0,1,1,2,1,1,2,1,1,1,1370.9231314432975,1062.9768685567026,62.961703124999964,41.288296875000036,2,0
0,0,1,0,33,1,0,1,2,0,2,2,2,2,1,1,0,103.75,3361.05,1,1,0,0,0,1,1,2,0,1,1,1,2,0,3018.965635738831,342.08436426116896,62.961703124999964,40.788296875000036,2,0
1,0,1,1,5,1,2,1,0,2,0,0,0,0,0,1,0,80.15,385.0,1,0,1,1,0,1,1,2,1,2,1,0,0,0,1370.9231314432975,-985.9231314432975,62.961703124999964,17.18829687500004,0,0
0,0,1,1,55,1,0,2,1,1,1,1,1,1,0,0,1,20.0,1087.25,0,0,1,0,1,0,1,7,1,2,1,0,1,1,1370.9231314432975,-283.6731314432975,66.7036565324568,-46.703656532456804,4,0
0,0,1,1,70,1,0,0,2,2,2,2,0,2,1,0,1,74.1,5222.3,0,1,0,0,1,1,1,1,1,2,1,1,2,1,3018.965635738831,2203.334364261169,66.7036565324568,7.39634346754319,5,0
0,1,0,0,22,1,0,1,2,2,0,0,0,0,0,0,0,81.7,1820.9,0,0,0,1,0,1,1,2,1,0,1,1,1,1,1370.9231314432975,449.9768685567026,62.961703124999964,18.73829687500004,1,0
1,1,0,0,52,1,2,1,0,0,0,0,0,0,0,1,1,72.95,3829.75,0,0,0,0,0,1,0,2,1,0,1,1,1,2,1370.9231314432975,2458.8268685567027,66.7036565324568,6.246343467543198,4,0
0,0,1,1,67,1,2,0,2,0,0,0,2,2,2,1,0,75.5,5229.45,0,1,0,0,1,1,0,1,1,2,1,2,0,0,3683.643191800877,1545.8068081991228,62.961703124999964,12.538296875000036,5,0
0,0,0,0,27,1,0,2,1,1,1,1,1,1,2,1,0,19.6,561.15,0,1,0,0,1,0,1,7,0,0,0,2,1,0,3683.643191800877,-3122.493191800877,62.961703124999964,-43.36170312499996,2,0
0,0,1,1,28,1,2,1,0,0,0,2,0,2,1,1,0,90.45,2509.25,0,1,0,0,0,1,1,2,1,2,1,1,2,0,3018.965635738831,-509.7156357388312,62.961703124999964,27.48829687500004,2,0
0,0,0,0,6,1,0,0,0,0,0,0,0,2,0,1,0,55.0,340.4,0,0,1,1,1,1,0,1,0,0,0,0,0,0,1370.9231314432975,-1030.5231314432976,62.961703124999964,-7.961703124999964,0,0
1,0,1,0,49,1,0,1,0,0,2,2,2,2,1,1,1,99.25,4920.8,0,1,0,0,0,1,1,2,0,1,1,1,2,1,3018.965635738831,1901.834364261169,66.7036565324568,32.546343467543196,4,0
1,1,1,0,72,1,2,0,0,2,2,2,2,0,2,0,1,77.35,5396.25,0,1,0,0,1,1,1,1,1,1,2,3,3,2,3683.643191800877,1712.606808199123,66.7036565324568,10.64634346754319,5,0
1,1,1,1,51,1,2,1,0,2,2,0,0,0,0,1,0,84.2,4146.05,1,0,0,1,0,1,1,2,2,2,2,1,1,1,1370.9231314432975,2775.126868556703,62.961703124999964,21.23829687500004,4,0
1,0,0,1,19,1,0,2,1,1,1,1,1,1,2,0,1,20.85,467.5,0,1,0,0,1,0,1,7,1,1,0,2,1,1,3683.643191800877,-3216.143191800877,66.7036565324568,-45.8536565324568,1,0
0,0,1,1,72,1,2,1,2,2,2,2,2,2,2,1,1,116.85,8477.7,0,1,0,0,0,1,1,2,1,2,1,2,2,1,3683.643191800877,4794.056808199124,66.7036565324568,50.14634346754319,5,0
0,0,0,0,1,1,0,1,0,0,2,0,2,2,0,0,0,94.4,94.4,1,0,1,1,0,1,1,2,0,0,0,0,0,0,1370.9231314432975,-1276.5231314432974,62.961703124999964,31.43829687500004,0,0
1,1,1,0,21,1,0,1,0,0,0,0,0,0,0,1,0,69.1,1474.75,1,0,0,1,0,1,0,2,1,1,2,1,1,1,1370.9231314432975,103.8268685567025,62.961703124999964,6.13829687500003,1,0
0,0,0,0,3,1,0,1,2,0,2,0,2,2,0,1,1,99.0,287.4,1,0,1,0,0,1,1,2,0,0,0,0,0,1,1370.9231314432975,-1083.5231314432976,66.7036565324568,32.296343467543196,0,0
1,1,0,0,23,0,1,0,0,0,0,0,0,2,0,1,1,34.65,768.45,0,0,0,0,1,1,0,0,1,0,1,1,1,2,1370.9231314432975,-602.4731314432975,66.7036565324568,-32.053656532456806,1,0
1,0,1,1,18,1,0,1,2,0,2,0,2,0,0,1,0,87.9,1500.5,0,0,1,1,0,1,1,2,1,2,1,0,0,0,1370.9231314432975,129.5768685567025,62.961703124999964,24.93829687500004,1,0
1,0,1,1,37,1,2,0,2,0,2,2,0,0,2,1,1,62.8,2278.75,0,1,0,0,1,1,1,1,1,2,1,2,2,1,3683.643191800877,-1404.893191800877,66.7036565324568,-3.9036565324568073,3,0
1,1,0,0,55,1,2,1,2,2,2,2,2,2,0,1,0,116.5,6382.55,0,0,0,1,0,1,1,2,1,0,1,1,3,1,1370.9231314432975,5011.626868556703,62.961703124999964,53.538296875000036,4,0
0,1,0,0,45,1,2,1,0,0,2,0,2,2,1,1,1,100.15,4459.8,0,1,0,0,0,1,1,2,1,0,1,2,1,2,3018.965635738831,1440.834364261169,66.7036565324568,33.4463434675432,3,0
1,0,0,0,41,1,0,2,1,1,1,1,1,1,2,0,0,20.15,802.35,0,1,0,0,1,0,1,7,0,0,0,2,1,0,3683.643191800877,-2881.293191800877,62.961703124999964,-42.811703124999966,3,0
0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,1,0,68.95,68.95,1,0,1,1,0,1,0,2,0,1,1,0,0,0,1370.9231314432975,-1301.9731314432975,62.961703124999964,5.988296875000039,0,0
0,0,1,0,26,1,2,2,1,1,1,1,1,1,1,0,0,26.0,684.05,0,1,0,0,1,0,1,7,0,1,1,1,1,0,3018.965635738831,-2334.915635738831,62.961703124999964,-36.961703124999964,2,0
0,0,1,1,70,1,2,2,1,1,1,1,1,1,2,0,0,24.05,1764.75,0,1,0,0,1,0,1,7,1,2,1,2,1,0,3683.643191800877,-1918.893191800877,62.961703124999964,-38.91170312499996,5,0
0,0,0,0,3,1,2,1,0,0,0,0,0,0,0,1,0,74.95,212.4,0,0,1,1,0,1,0,2,0,0,0,0,0,0,1370.9231314432975,-1158.5231314432974,62.961703124999964,11.988296875000039,0,0
1,0,1,1,72,1,2,0,2,2,2,2,2,2,2,0,1,89.7,6339.3,0,1,0,0,1,1,1,1,1,2,1,2,2,1,3683.643191800877,2655.656808199123,66.7036565324568,22.9963434675432,5,0
0,0,1,1,34,1,2,1,0,0,2,0,2,0,0,0,0,87.45,2874.15,1,0,1,1,0,1,1,2,1,2,1,0,0,0,1370.9231314432975,1503.2268685567026,62.961703124999964,24.48829687500004,2,0
0,0,1,1,69,1,0,0,0,2,2,2,0,0,1,0,1,59.1,4134.7,0,1,0,0,1,1,1,1,1,2,1,1,2,1,3018.965635738831,1115.7343642611686,66.7036565324568,-7.603656532456803,5,0
1,0,0,0,47,1,2,1,2,2,0,0,2,0,1,0,1,94.8,4535.85,0,1,0,0,0,1,1,2,0,0,0,1,0,1,3018.965635738831,1516.8843642611691,66.7036565324568,28.096343467543193,3,0
0,1,1,0,16,1,2,1,0,0,0,0,0,2,0,1,1,85.35,1375.15,1,0,0,0,0,1,0,2,1,1,2,1,1,2,1370.9231314432975,4.226868556702584,66.7036565324568,18.64634346754319,1,0
0,0,1,0,68,1,0,0,0,2,0,2,2,0,2,0,1,64.1,4326.25,0,1,0,0,1,1,1,1,0,1,1,2,2,1,3683.643191800877,642.606808199123,66.7036565324568,-2.60365653245681,5,0
0,0,0,0,30,1,2,0,0,2,2,0,2,0,1,1,1,68.95,2038.7,0,1,0,0,1,1,1,1,0,0,0,1,0,1,3018.965635738831,-980.2656357388312,66.7036565324568,2.2463434675431984,2,0
1,0,0,0,17,1,0,0,2,2,0,0,0,0,0,1,1,55.5,934.15,0,0,1,0,1,1,1,1,0,0,0,0,0,1,1370.9231314432975,-436.77313144329753,66.7036565324568,-11.203656532456804,1,0
1,0,0,1,2,1,2,0,2,2,0,0,0,0,0,0,1,60.95,134.6,0,0,1,0,1,1,1,1,1,1,0,0,0,1,1370.9231314432975,-1236.3231314432976,66.7036565324568,-5.753656532456802,0,0
0,0,0,0,28,1,0,1,0,0,0,0,0,2,0,1,0,80.6,2244.95,0,0,1,1,0,1,0,2,0,0,0,0,0,0,1370.9231314432975,874.0268685567023,62.961703124999964,17.63829687500003,2,0
1,0,1,1,72,1,0,1,2,2,0,2,2,2,2,0,1,105.5,7611.55,0,1,0,0,0,1,1,2,1,2,1,2,2,1,3683.643191800877,3927.906808199123,66.7036565324568,38.796343467543196,5,0
0,1,1,1,48,0,1,0,0,2,0,0,0,0,1,0,1,29.9,1388.75,0,1,0,0,1,1,1,0,2,2,2,2,1,2,3018.965635738831,-1630.2156357388312,66.7036565324568,-36.803656532456806,4,0
0,0,0,0,5,1,0,2,1,1,1,1,1,1,0,1,0,20.5,104.3,0,0,1,1,1,0,1,7,0,0,0,0,1,0,1370.9231314432975,-1266.6231314432976,62.961703124999964,-42.461703124999964,0,0
1,0,0,0,1,1,0,1,0,0,0,0,2,0,0,1,0,79.55,79.55,1,0,1,1,0,1,0,2,0,0,0,0,0,0,1370.9231314432975,-1291.3731314432976,62.961703124999964,16.588296875000033,0,0
1,0,1,0,1,1,0,1,0,0,0,0,2,0,0,1,0,80.55,80.55,1,0,1,1,0,1,0,2,0,1,1,0,0,0,1370.9231314432975,-1290.3731314432976,62.961703124999964,17.588296875000033,0,0
0,0,0,0,7,1,0,1,0,0,0,0,2,0,0,1,0,80.3,526.7,1,0,1,1,0,1,0,2,0,0,0,0,0,0,1370.9231314432975,-844.2231314432975,62.961703124999964,17.338296875000033,0,0
1,0,1,0,18,1,2,1,2,0,0,0,2,2,0,1,0,99.4,1742.95,1,0,1,1,0,1,0,2,0,1,1,0,0,0,1370.9231314432975,372.02686855670254,62.961703124999964,36.43829687500004,1,0
0,0,1,1,6,1,0,0,0,0,0,0,0,0,0,0,0,45.5,285.2,0,0,1,1,1,1,0,1,1,2,1,0,0,0,1370.9231314432975,-1085.7231314432975,62.961703124999964,-17.461703124999964,0,0
0,0,1,1,68,1,2,0,2,2,2,0,2,0,1,1,1,73.0,5163.0,0,1,0,0,1,1,1,1,1,2,1,1,0,1,3018.965635738831,2144.034364261169,66.7036565324568,6.2963434675431955,5,0
1,0,1,1,12,1,0,0,2,0,0,0,0,0,0,1,0,49.2,571.15,0,0,1,1,1,1,0,1,1,2,1,0,0,0,1370.9231314432975,-799.7731314432975,62.961703124999964,-13.761703124999961,1,0
0,0,0,0,18,1,0,1,2,0,0,0,2,2,0,1,0,96.05,1740.7,1,0,1,1,0,1,0,2,0,0,0,0,0,0,1370.9231314432975,369.77686855670254,62.961703124999964,33.08829687500003,1,0
0,0,1,0,53,1,2,1,0,2,0,0,2,2,0,1,1,98.4,5149.5,1,0,1,0,0,1,1,2,0,1,1,0,0,1,1370.9231314432975,3778.5768685567027,66.7036565324568,31.6963434675432,4,0
1,0,0,0,3,1,2,1,0,0,0,0,0,0,0,0,0,74.5,217.45,0,0,1,1,0,1,0,2,0,0,0,0,0,0,1370.9231314432975,-1153.4731314432975,62.961703124999964,11.538296875000036,0,0
0,0,0,0,32,1,2,1,0,0,2,0,2,2,0,1,0,101.35,3334.9,0,0,1,1,0,1,1,2,0,0,0,0,0,0,1370.9231314432975,1963.9768685567026,62.961703124999964,38.38829687500003,2,0
